Date,JD,RA,DEC
 2023-Jan-13 00:00,2459957.500000000,00 11 39.58,-00 05 08.6
 2023-Jan-13 08:00,2459957.833333333,00 11 49.39,-00 04 02.5
 2023-Jan-13 16:00,2459958.166666667,00 11 59.04,-00 02 59.0
 2023-Jan-14 00:00,2459958.500000000,00 12 08.17,-00 01 57.9
 2023-Jan-14 08:00,2459958.833333333,00 12 16.91,-00 00 58.9
 2023-Jan-14 16:00,2459959.166666667,00 12 25.60,-00 00 01.9
 2023-Jan-15 00:00,2459959.500000000,00 12 33.85,+00 00 53.6
 2023-Jan-15 08:00,2459959.833333333,00 12 41.86,+00 01 47.8
 2023-Jan-15 16:00,2459960.166666667,00 12 49.93,+00 02 41.2
 2023-Jan-16 00:00,2459960.500000000,00 12 57.73,+00 03 34.1
 2023-Jan-16 08:00,2459960.833333333,00 13 05.42,+00 04 26.9
 2023-Jan-16 16:00,2459961.166666667,00 13 13.36,+00 05 20.0
 2023-Jan-17 00:00,2459961.500000000,00 13 21.17,+00 06 13.8
 2023-Jan-17 08:00,2459961.833333333,00 13 29.06,+00 07 08.7
 2023-Jan-17 16:00,2459962.166666667,00 13 37.35,+00 08 05.1
 2023-Jan-18 00:00,2459962.500000000,00 13 45.69,+00 09 03.3
 2023-Jan-18 08:00,2459962.833333333,00 13 54.26,+00 10 03.7
 2023-Jan-18 16:00,2459963.166666667,00 14 03.38,+00 11 06.6
 2023-Jan-19 00:00,2459963.500000000,00 14 12.68,+00 12 12.3
 2023-Jan-19 08:00,2459963.833333333,00 14 22.35,+00 13 20.9
 2023-Jan-19 16:00,2459964.166666667,00 14 32.68,+00 14 32.7
 2023-Jan-20 00:00,2459964.500000000,00 14 43.29,+00 15 47.9
 2023-Jan-20 08:00,2459964.833333333,00 14 54.35,+00 17 06.5
 2023-Jan-20 16:00,2459965.166666667,00 15 06.13,+00 18 28.7
 2023-Jan-21 00:00,2459965.500000000,00 15 18.22,+00 19 54.3
 2023-Jan-21 08:00,2459965.833333333,00 15 30.79,+00 21 23.5
 2023-Jan-21 16:00,2459966.166666667,00 15 44.08,+00 22 56.1
 2023-Jan-22 00:00,2459966.500000000,00 15 57.67,+00 24 31.9
 2023-Jan-22 08:00,2459966.833333333,00 16 11.69,+00 26 10.8
 2023-Jan-22 16:00,2459967.166666667,00 16 26.36,+00 27 52.6
 2023-Jan-23 00:00,2459967.500000000,00 16 41.25,+00 29 37.0
 2023-Jan-23 08:00,2459967.833333333,00 16 56.48,+00 31 23.6
 2023-Jan-23 16:00,2459968.166666667,00 17 12.25,+00 33 12.2
 2023-Jan-24 00:00,2459968.500000000,00 17 28.10,+00 35 02.5
 2023-Jan-24 08:00,2459968.833333333,00 17 44.14,+00 36 53.9
 2023-Jan-24 16:00,2459969.166666667,00 18 00.57,+00 38 46.1
 2023-Jan-25 00:00,2459969.500000000,00 18 16.91,+00 40 38.8
 2023-Jan-25 08:00,2459969.833333333,00 18 33.29,+00 42 31.4
 2023-Jan-25 16:00,2459970.166666667,00 18 49.87,+00 44 23.7
 2023-Jan-26 00:00,2459970.500000000,00 19 06.20,+00 46 15.2
 2023-Jan-26 08:00,2459970.833333333,00 19 22.40,+00 48 05.5
 2023-Jan-26 16:00,2459971.166666667,00 19 38.63,+00 49 54.3
 2023-Jan-27 00:00,2459971.500000000,00 19 54.46,+00 51 41.3
 2023-Jan-27 08:00,2459971.833333333,00 20 10.01,+00 53 26.1
 2023-Jan-27 16:00,2459972.166666667,00 20 25.47,+00 55 08.7
 2023-Jan-28 00:00,2459972.500000000,00 20 40.40,+00 56 48.7
 2023-Jan-28 08:00,2459972.833333333,00 20 54.96,+00 58 25.9
 2023-Jan-28 16:00,2459973.166666667,00 21 09.35,+01 00 00.3
 2023-Jan-29 00:00,2459973.500000000,00 21 23.14,+01 01 31.9
 2023-Jan-29 08:00,2459973.833333333,00 21 36.52,+01 03 00.5
 2023-Jan-29 16:00,2459974.166666667,00 21 49.70,+01 04 26.3
 2023-Jan-30 00:00,2459974.500000000,00 22 02.29,+01 05 49.4
 2023-Jan-30 08:00,2459974.833333333,00 22 14.50,+01 07 09.7
 2023-Jan-30 16:00,2459975.166666667,00 22 26.54,+01 08 27.7
 2023-Jan-31 00:00,2459975.500000000,00 22 38.04,+01 09 43.4
 2023-Jan-31 08:00,2459975.833333333,00 22 49.25,+01 10 57.0
 2023-Jan-31 16:00,2459976.166666667,00 23 00.38,+01 12 08.9
 2023-Feb-01 00:00,2459976.500000000,00 23 11.08,+01 13 19.5
 2023-Feb-01 08:00,2459976.833333333,00 23 21.60,+01 14 29.0
 2023-Feb-01 16:00,2459977.166666667,00 23 32.19,+01 15 37.8
 2023-Feb-02 00:00,2459977.500000000,00 23 42.49,+01 16 46.2
 2023-Feb-02 08:00,2459977.833333333,00 23 52.77,+01 17 54.6
 2023-Feb-02 16:00,2459978.166666667,00 24 03.26,+01 19 03.5
 2023-Feb-03 00:00,2459978.500000000,00 24 13.63,+01 20 13.2
 2023-Feb-03 08:00,2459978.833333333,00 24 24.14,+01 21 24.0
 2023-Feb-03 16:00,2459979.166666667,00 24 35.02,+01 22 36.3
 2023-Feb-04 00:00,2459979.500000000,00 24 45.92,+01 23 50.5
 2023-Feb-04 08:00,2459979.833333333,00 24 57.12,+01 25 06.7
 2023-Feb-04 16:00,2459980.166666667,00 25 08.83,+01 26 25.4
 2023-Feb-05 00:00,2459980.500000000,00 25 20.68,+01 27 46.8
 2023-Feb-05 08:00,2459980.833333333,00 25 32.96,+01 29 10.9
 2023-Feb-05 16:00,2459981.166666667,00 25 45.83,+01 30 38.2
 2023-Feb-06 00:00,2459981.500000000,00 25 58.95,+01 32 08.7
 2023-Feb-06 08:00,2459981.833333333,00 26 12.55,+01 33 42.3
 2023-Feb-06 16:00,2459982.166666667,00 26 26.80,+01 35 19.2
 2023-Feb-07 00:00,2459982.500000000,00 26 41.32,+01 36 59.5
 2023-Feb-07 08:00,2459982.833333333,00 26 56.34,+01 38 42.8
 2023-Feb-07 16:00,2459983.166666667,00 27 12.00,+01 40 29.3
 2023-Feb-08 00:00,2459983.500000000,00 27 27.91,+01 42 18.8
 2023-Feb-08 08:00,2459983.833333333,00 27 44.26,+01 44 11.0
 2023-Feb-08 16:00,2459984.166666667,00 28 01.19,+01 46 05.7
 2023-Feb-09 00:00,2459984.500000000,00 28 18.27,+01 48 02.8
 2023-Feb-09 08:00,2459984.833333333,00 28 35.70,+01 50 01.7
 2023-Feb-09 16:00,2459985.166666667,00 28 53.59,+01 52 02.2
 2023-Feb-10 00:00,2459985.500000000,00 29 11.49,+01 54 04.1
 2023-Feb-10 08:00,2459985.833333333,00 29 29.61,+01 56 06.8
 2023-Feb-10 16:00,2459986.166666667,00 29 48.03,+01 58 10.0
 2023-Feb-11 00:00,2459986.500000000,00 30 06.31,+02 00 13.4
 2023-Feb-11 08:00,2459986.833333333,00 30 24.64,+02 02 16.4
 2023-Feb-11 16:00,2459987.166666667,00 30 43.10,+02 04 18.8
 2023-Feb-12 00:00,2459987.500000000,00 31 01.25,+02 06 20.3
 2023-Feb-12 08:00,2459987.833333333,00 31 19.31,+02 08 20.4
 2023-Feb-12 16:00,2459988.166666667,00 31 37.33,+02 10 18.8
 2023-Feb-13 00:00,2459988.500000000,00 31 54.91,+02 12 15.3
 2023-Feb-13 08:00,2459988.833333333,00 32 12.26,+02 14 09.5
 2023-Feb-13 16:00,2459989.166666667,00 32 29.45,+02 16 01.4
 2023-Feb-14 00:00,2459989.500000000,00 32 46.10,+02 17 50.7
 2023-Feb-14 08:00,2459989.833333333,00 33 02.42,+02 19 37.2
 2023-Feb-14 16:00,2459990.166666667,00 33 18.53,+02 21 21.0
 2023-Feb-15 00:00,2459990.500000000,00 33 34.03,+02 23 02.0
 2023-Feb-15 08:00,2459990.833333333,00 33 49.18,+02 24 40.0
 2023-Feb-15 16:00,2459991.166666667,00 34 04.10,+02 26 15.4
 2023-Feb-16 00:00,2459991.500000000,00 34 18.41,+02 27 48.1
 2023-Feb-16 08:00,2459991.833333333,00 34 32.42,+02 29 18.2
 2023-Feb-16 16:00,2459992.166666667,00 34 46.23,+02 30 46.1
 2023-Feb-17 00:00,2459992.500000000,00 34 59.51,+02 32 11.9
 2023-Feb-17 08:00,2459992.833333333,00 35 12.55,+02 33 35.7
 2023-Feb-17 16:00,2459993.166666667,00 35 25.50,+02 34 58.0
 2023-Feb-18 00:00,2459993.500000000,00 35 38.03,+02 36 19.1
 2023-Feb-18 08:00,2459993.833333333,00 35 50.45,+02 37 39.2
 2023-Feb-18 16:00,2459994.166666667,00 36 02.90,+02 38 58.7
 2023-Feb-19 00:00,2459994.500000000,00 36 15.08,+02 40 18.1
 2023-Feb-19 08:00,2459994.833333333,00 36 27.29,+02 41 37.4
 2023-Feb-19 16:00,2459995.166666667,00 36 39.70,+02 42 57.4
 2023-Feb-20 00:00,2459995.500000000,00 36 51.97,+02 44 18.2
 2023-Feb-20 08:00,2459995.833333333,00 37 04.44,+02 45 40.0
 2023-Feb-20 16:00,2459996.166666667,00 37 17.25,+02 47 03.5
 2023-Feb-21 00:00,2459996.500000000,00 37 30.08,+02 48 28.8
 2023-Feb-21 08:00,2459996.833333333,00 37 43.25,+02 49 56.0
 2023-Feb-21 16:00,2459997.166666667,00 37 56.88,+02 51 25.8
 2023-Feb-22 00:00,2459997.500000000,00 38 10.65,+02 52 58.1
 2023-Feb-22 08:00,2459997.833333333,00 38 24.87,+02 54 33.0
 2023-Feb-22 16:00,2459998.166666667,00 38 39.65,+02 56 11.0
 2023-Feb-23 00:00,2459998.500000000,00 38 54.63,+02 57 51.9
 2023-Feb-23 08:00,2459998.833333333,00 39 10.14,+02 59 35.8
 2023-Feb-23 16:00,2459999.166666667,00 39 26.23,+03 01 22.8
 2023-Feb-24 00:00,2459999.500000000,00 39 42.56,+03 03 13.0
 2023-Feb-24 08:00,2459999.833333333,00 39 59.41,+03 05 05.9
 2023-Feb-24 16:00,2460000.166666667,00 40 16.84,+03 07 01.8
 2023-Feb-25 00:00,2460000.500000000,00 40 34.46,+03 09 00.4
 2023-Feb-25 08:00,2460000.833333333,00 40 52.56,+03 11 01.3
 2023-Feb-25 16:00,2460001.166666667,00 41 11.15,+03 13 04.5
 2023-Feb-26 00:00,2460001.500000000,00 41 29.85,+03 15 09.8
 2023-Feb-26 08:00,2460001.833333333,00 41 48.91,+03 17 16.5
 2023-Feb-26 16:00,2460002.166666667,00 42 08.35,+03 19 24.7
 2023-Feb-27 00:00,2460002.500000000,00 42 27.77,+03 21 33.9
 2023-Feb-27 08:00,2460002.833333333,00 42 47.41,+03 23 43.5
 2023-Feb-27 16:00,2460003.166666667,00 43 07.28,+03 25 53.6
 2023-Feb-28 00:00,2460003.500000000,00 43 26.96,+03 28 03.5
